respondent_id,task_presentation_order,task1_alternative_position_order,task2_alternative_position_order,task3_alternative_position_order,task4_alternative_position_order,task5_alternative_position_order,task6_alternative_position_order,task7_alternative_position_order,task8_alternative_position_order,task9_alternative_position_order
R062,"8,7,4,2,3,5,1,6,9","1,3,2","1,2,3","2,3,1","1,3,2","2,1,3","2,1,3","2,1,3","3,2,1","3,1,2"
R063,"8,9,4,6,5,1,2,7,3","2,1,3","3,1,2","2,3,1","1,2,3","3,1,2","3,1,2","1,3,2","3,1,2","3,1,2"
R064,"3,4,2,6,1,7,8,5,9","2,1,3","2,1,3","3,1,2","3,2,1","2,3,1","1,3,2","2,1,3","3,2,1","1,2,3"
R065,"3,5,4,8,7,2,9,1,6","2,3,1","1,3,2","1,3,2","2,1,3","1,2,3","3,1,2","2,1,3","2,3,1","2,1,3"
R066,"2,1,8,9,6,7,4,5,3","2,1,3","2,1,3","1,3,2","1,3,2","2,1,3","3,1,2","1,2,3","2,1,3","3,2,1"
R067,"5,4,2,8,9,3,7,6,1","1,2,3","3,2,1","2,3,1","1,3,2","3,1,2","3,2,1","3,2,1","3,1,2","1,3,2"
R068,"5,7,4,8,2,9,6,3,1","2,1,3","1,2,3","1,3,2","1,2,3","1,3,2","2,1,3","2,3,1","3,2,1","1,2,3"
R069,"6,1,4,7,2,3,9,5,8","2,3,1","2,1,3","1,3,2","1,2,3","2,1,3","1,2,3","2,3,1","1,2,3","3,2,1"
R070,"4,8,3,2,7,1,9,6,5","1,2,3","1,3,2","1,3,2","3,2,1","3,2,1","3,2,1","1,3,2","2,3,1","1,3,2"
R071,"6,1,5,7,3,8,2,4,9","3,2,1","3,1,2","1,3,2","1,3,2","2,3,1","2,3,1","1,2,3","2,1,3","3,2,1"
R072,"2,3,8,1,6,4,5,9,7","3,2,1","2,1,3","2,3,1","3,2,1","1,2,3","3,2,1","1,2,3","2,3,1","1,2,3"
R073,"7,5,4,1,2,9,8,6,3","1,3,2","1,3,2","3,2,1","1,3,2","3,2,1","1,3,2","1,3,2","1,2,3","3,1,2"
R074,"9,4,6,7,5,3,8,1,2","1,3,2","1,3,2","2,3,1","3,2,1","3,1,2","3,1,2","2,3,1","1,2,3","1,2,3"
R075,"1,7,2,6,5,3,8,4,9","1,3,2","1,3,2","1,2,3","2,3,1","2,1,3","3,1,2","1,2,3","2,1,3","3,1,2"
R076,"6,9,7,4,3,8,1,2,5","3,2,1","1,3,2","3,2,1","1,2,3","2,3,1","1,2,3","1,3,2","1,3,2","1,2,3"
R077,"8,7,5,9,3,1,4,6,2","2,3,1","1,2,3","3,1,2","3,2,1","3,2,1","2,3,1","3,1,2","3,1,2","2,1,3"
R078,"5,6,4,8,7,1,2,9,3","3,1,2","3,2,1","1,3,2","2,1,3","3,2,1","2,1,3","3,2,1","1,2,3","1,3,2"
R079,"9,7,2,6,5,1,4,8,3","3,2,1","1,2,3","1,3,2","3,2,1","2,3,1","3,1,2","2,1,3","3,1,2","2,3,1"
R080,"5,7,4,6,8,9,2,3,1","1,3,2","3,1,2","2,1,3","3,1,2","2,1,3","3,2,1","3,1,2","2,3,1","3,1,2"
R081,"4,7,9,8,6,3,1,5,2","3,2,1","1,3,2","1,2,3","1,3,2","2,1,3","3,1,2","3,2,1","3,2,1","3,1,2"
R082,"2,3,7,4,6,1,5,8,9","3,2,1","2,1,3","3,2,1","1,2,3","1,3,2","1,2,3","2,3,1","1,3,2","2,1,3"
R083,"7,1,9,6,5,4,3,2,8","1,3,2","2,3,1","2,3,1","1,2,3","2,3,1","2,1,3","2,1,3","3,1,2","3,1,2"
R084,"7,3,2,9,6,5,8,1,4","1,2,3","3,2,1","3,2,1","2,3,1","2,3,1","1,2,3","3,2,1","2,3,1","1,2,3"
R085,"4,9,5,8,2,3,7,1,6","2,3,1","2,1,3","2,1,3","3,2,1","3,1,2","3,1,2","3,2,1","3,2,1","3,2,1"
R086,"5,7,3,9,6,2,8,4,1","2,1,3","3,2,1","2,1,3","1,3,2","2,1,3","1,2,3","1,3,2","3,2,1","3,1,2"
R087,"7,8,1,4,9,5,6,2,3","3,1,2","2,3,1","2,1,3","1,3,2","2,1,3","2,1,3","1,2,3","3,2,1","2,1,3"
R088,"1,9,6,7,4,8,2,5,3","1,3,2","2,1,3","1,3,2","3,2,1","2,1,3","1,3,2","1,3,2","2,3,1","1,2,3"
R089,"8,7,1,5,4,9,6,2,3","1,3,2","3,2,1","2,1,3","2,3,1","1,2,3","1,2,3","3,2,1","1,3,2","1,3,2"
R090,"5,6,2,8,9,7,4,1,3","1,2,3","3,2,1","1,3,2","1,3,2","2,3,1","2,1,3","2,1,3","2,3,1","3,1,2"
R091,"1,2,4,7,6,5,3,8,9","1,3,2","2,3,1","2,3,1","1,3,2","3,1,2","3,2,1","3,2,1","1,2,3","3,1,2"
R092,"8,7,5,9,3,4,6,1,2","2,3,1","3,1,2","3,1,2","3,2,1","2,3,1","3,2,1","1,2,3","1,2,3","2,3,1"
R093,"2,6,4,7,9,8,3,1,5","3,2,1","1,2,3","2,3,1","2,3,1","1,2,3","2,3,1","2,3,1","2,3,1","2,1,3"
R094,"5,2,3,6,9,4,1,7,8","3,2,1","2,1,3","1,2,3","1,3,2","3,1,2","2,3,1","2,1,3","2,3,1","1,2,3"
R095,"5,1,4,7,3,6,8,2,9","2,3,1","1,3,2","1,3,2","3,2,1","2,1,3","3,2,1","3,1,2","3,1,2","2,3,1"
R096,"2,4,3,6,1,8,9,5,7","3,2,1","3,1,2","3,2,1","2,1,3","1,3,2","2,3,1","3,1,2","2,3,1","3,2,1"
R097,"3,7,4,8,1,5,6,2,9","2,1,3","3,2,1","2,1,3","1,3,2","3,2,1","1,2,3","2,1,3","1,2,3","2,1,3"
R098,"5,4,1,9,3,6,7,8,2","2,3,1","3,1,2","1,3,2","2,1,3","1,2,3","3,2,1","3,1,2","1,2,3","1,2,3"
R099,"9,3,7,6,5,2,4,8,1","3,2,1","3,1,2","2,3,1","1,2,3","2,3,1","2,3,1","2,1,3","2,3,1","2,1,3"
R100,"9,2,5,1,8,3,6,4,7","1,3,2","2,1,3","1,3,2","3,1,2","1,2,3","3,1,2","2,3,1","1,2,3","1,2,3"
